Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR17216034,RNA-Seq,300,20357397600,PRJNA788430,SAMN23970876,6372583175,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX13395815,GSM5730459,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:55:00Z,1,GSM5730459,Lung,SRP350516,Lung
SRR17216035,RNA-Seq,300,17700822600,PRJNA788430,SAMN23970919,5580421055,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX13395816,GSM5730460,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T12:41:00Z,1,GSM5730460,Brain,SRP350516,Brain
SRR17216036,RNA-Seq,300,22124614500,PRJNA788430,SAMN23970920,6969104251,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX13395913,GSM5730461,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:21:00Z,1,GSM5730461,Heart,SRP350516,Heart
SRR17216037,RNA-Seq,300,21816664200,PRJNA788430,SAMN23970921,6839983338,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX13395914,GSM5730462,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:05:00Z,1,GSM5730462,Kidney,SRP350516,Kidney
SRR17216038,RNA-Seq,300,22837335300,PRJNA788430,SAMN23970922,7113232225,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX13395915,GSM5730463,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:25:00Z,1,GSM5730463,Liver,SRP350516,Liver
SRR17216039,RNA-Seq,300,23384550300,PRJNA788430,SAMN23970923,7318554916,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13395916,GSM5730464,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:28:00Z,1,GSM5730464,Skin,SRP350516,Skin
SRR17216040,RNA-Seq,300,17436564600,PRJNA788430,SAMN23970924,5489086372,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX13395917,GSM5730465,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T12:45:00Z,1,GSM5730465,Brain,SRP350516,Brain
SRR17216041,RNA-Seq,300,21209265600,PRJNA788430,SAMN23970877,6606877545,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX13395918,GSM5730466,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:00:00Z,1,GSM5730466,Heart,SRP350516,Heart
SRR17216042,RNA-Seq,300,19628249400,PRJNA788430,SAMN23970878,6144482131,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13395919,GSM5730467,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:29:00Z,1,GSM5730467,Kidney,SRP350516,Kidney
SRR17216043,RNA-Seq,300,22105618800,PRJNA788430,SAMN23970879,6937293015,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13395920,GSM5730468,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:37:00Z,1,GSM5730468,Liver,SRP350516,Liver
